2025-09-15 21:51:13,345 - INFO - <module>:100 - Creating data directory: lighter_data
2025-09-15 21:51:13,346 - INFO - <module>:102 - Data directory created successfully
2025-09-15 21:51:13,346 - INFO - main:347 - === Starting Lighter DEX Data Collector ===
2025-09-15 21:51:13,346 - INFO - main:348 - Tracking symbols: ['ETH', 'BTC', 'PAXG']
2025-09-15 21:51:13,347 - INFO - main:352 - Initializing API client...
2025-09-15 21:51:13,352 - INFO - main:355 - ✓ API client initialized
2025-09-15 21:51:13,352 - INFO - main:358 - Discovering market IDs...
2025-09-15 21:51:13,352 - DEBUG - get_market_id:149 - Getting market ID for symbol: ETH
2025-09-15 21:51:14,915 - INFO - get_market_id:156 - Found market ID 0 for symbol ETH
2025-09-15 21:51:14,915 - DEBUG - get_market_id:149 - Getting market ID for symbol: BTC
2025-09-15 21:51:15,223 - INFO - get_market_id:156 - Found market ID 1 for symbol BTC
2025-09-15 21:51:15,224 - DEBUG - get_market_id:149 - Getting market ID for symbol: PAXG
2025-09-15 21:51:15,523 - INFO - get_market_id:156 - Found market ID 48 for symbol PAXG
2025-09-15 21:51:15,523 - INFO - main:370 - ✓ Mapped 3 markets: ['ETH', 'BTC', 'PAXG']
2025-09-15 21:51:15,524 - INFO - main:376 - Starting background tasks...
2025-09-15 21:51:15,524 - INFO - main:385 - ✓ All tasks started
2025-09-15 21:51:15,524 - INFO - main:386 - === Data collector is running (Press Ctrl+C to stop) ===
2025-09-15 21:51:15,524 - INFO - write_buffers_to_csv:207 - Starting CSV writer with 5s intervals...
2025-09-15 21:51:15,525 - INFO - fetch_recent_trades_periodically:168 - Starting periodic trade fetching...
2025-09-15 21:51:15,525 - INFO - websocket_manager:321 - Creating WebSocket client for 3 markets...
2025-09-15 21:51:15,525 - INFO - websocket_manager:328 - ✓ WebSocket client created, running...
2025-09-15 21:51:15,825 - INFO - fetch_recent_trades_periodically:195 - Added 1 new trades for ETH
2025-09-15 21:51:16,128 - INFO - fetch_recent_trades_periodically:195 - Added 1 new trades for BTC
2025-09-15 21:51:16,425 - INFO - fetch_recent_trades_periodically:195 - Added 1 new trades for PAXG
2025-09-15 21:51:17,958 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115490.3, ask=115494.0
2025-09-15 21:51:17,959 - INFO - on_order_book_update:299 - Order book update for PAXG: bid=3681.04, ask=3682.19
2025-09-15 21:51:17,966 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.77, ask=4522.93
2025-09-15 21:51:17,967 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115490.3, ask=115494.0
2025-09-15 21:51:17,968 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115490.3, ask=115495.1
2025-09-15 21:51:17,968 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115490.3, ask=115495.1
2025-09-15 21:51:17,969 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.77, ask=4522.93
2025-09-15 21:51:17,970 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115490.3, ask=115495.1
2025-09-15 21:51:17,971 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115490.3, ask=115495.1
2025-09-15 21:51:17,971 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115490.3, ask=115495.1
2025-09-15 21:51:17,972 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115490.3, ask=115495.1
2025-09-15 21:51:17,973 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115490.3, ask=115495.1
